100
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
-99,19,12,13, 4,22, 3,21,22, 6,24, 3,16, 6,22, 6,22,11,18,20,19,23,17,30,12,12, 4,27, 7,25,24,10,15, 7,23,18,13, 9,22, 6,14, 2,20,13, 7,13,18, 1,23,19, 4,13,26, 4, 7, 9,15,22,20, 5,18,15,15,16, 6,21,17,18, 1,23,23,26,24,27,10, 2,11,11,14,18,13, 2,14,10, 5,20, 3, 4,25, 6, 8,26,20, 6,13, 9,26,14,10,-99,
-99,10, 8,17, 7, 3,15,28,16,25,10,14,26,23,27,12,16,15,15, 2,18,12, 7,10,21,11,15,18,19,25, 3, 1,18,22, 1,25, 8,15,24,23,23,18,20,21,12,18, 4,11,17,18,13,18,13, 3,27, 6,13,26,30,16, 6, 9,28,23, 2,28, 3, 9,14,11,15,20,28,19,12,23,20,27, 5, 8, 1, 1,26,25, 4, 8,14,28,17,20,15,22,28,14, 1,13,25, 3, 5,-99,
-99,22,25,20,14,24,10,25, 2, 1, 8,19,21, 8,19,18, 4, 6, 9,18, 6,26, 9, 4, 3,21, 2, 3,17,26,18,22,20,14,13,17,22, 6,13,23,18, 4,13,10,11,16,11,27,21,20,28,10, 1, 8,26, 3,12,27, 6, 1, 8, 7,22,27,20,18,15,25, 7,12,20,24,15,16,18,10,15,12, 8,20,15, 7, 1,15,26,26,18,22, 8, 7,22,16,13,27,26,16,28,13,13,-99,
-99, 6, 8,16, 1, 6, 3, 2,15,18,26, 6,30,12,12,21,27,22, 3,28,15,10,18, 8,25,14,18,23, 1,17,19,13,22,10,28, 6,15,15,20,14,16,17,19, 8,28,15,28,10, 8,14,21,22,24,22,13, 4, 7,14,10, 8, 2,12, 4, 7, 5,16,24,20,30,15,17, 1,15, 7, 8,27,21,19, 8,12, 5,13,17,12,18, 1,27,25,14,21,16,27, 4, 3,17,21,18,13,12,-99,
-99, 3,11,12,15,26,18,22, 8,23,25,27,18, 1,11, 7,24, 1, 7, 6, 9, 5,26,24,15,14,26, 4, 6,28,28, 1,14,22,12, 1,19, 1, 6,26, 7,14,25,25,26,19,15,21, 3, 5,27,11, 9, 8,18, 8,21,28,23,26,27,22,10,24,15,21, 8,18, 6,26,27,12,11, 7,20, 9,10, 6,13,12,23,11, 7, 3, 3, 8,22,23, 7,16, 5,17,21,14,13,20, 7, 4,21,-99,
-99,24, 1, 3,19,12,22,11, 4, 3,28,16,26,22,11,16, 9,13,24,14,19, 2,14,23, 3,18,21,30,21,27, 2,13,22, 3,28,24,26,21,18, 1, 7,18,28,16,23,10, 4,15, 6,11,13,25,24,26,19,26,15,11,24, 8,21,26, 4,26,28, 3,22, 9, 7,11,21,13,12,20, 1,19,14,16,17,19,26, 1,15,30,26, 6, 3,25,28,26,16, 5,23,19, 2, 6, 6, 7,26,-99,
-99,24, 2,18, 9,13,10,21,15,23,20, 4,13, 1, 4,12, 5,14, 1, 7,10,28, 5,25, 4,11,27,18,17,16, 8,14,12, 9,16, 4,30, 9, 8,20, 3,27,23,27,11,27,10,15,12,10,22, 5,22,10,13, 9,20,11,10,20,11,18,18,22,26,17, 9, 3,25,16,23,27,26, 1, 9, 8,27, 3,22,22,24,27,26, 1, 8,10,10,12, 5,19,15,15, 8,16,20,18, 4,28, 4,-99,
-99,12,15,10,22,12,11, 3,19,21,17,24,15,12,23,24,25,14, 6, 6, 9,22, 8, 8, 8,28, 7,27,17,23,10, 4, 6, 8,14,28, 3,24,14, 5,16, 2,28,14,25, 6,10,21, 4,27,26,24,20,18, 3,11,17,10,21,17,16, 2,20,21, 9, 5,20,11,12, 5,15,12,18,26,25,15, 4,18, 7,19,16,17,14,19,18,17, 1, 6,10,21,22,25, 6,25, 1,26,14,21, 8,-99,
-99,25, 9, 6, 8,27,16,17,25,19,18,15,21,18,15, 6, 8, 4,22,21,21,15,25,14,23, 3,23,24,28, 8,28,20, 4, 8, 9,24,18,24,24,14,26,13,13,18, 2,27, 8,22, 3, 1,14,23,28,10,21,22,24,15,17, 8, 6,16,11, 9, 8, 3,16,25,27,23,23, 8, 8, 7,10,21,17,17,14,19, 1,11,26,12, 5, 2, 6,28,28,30,19, 5, 6, 1,25,13, 4,13,21,-99,
