10
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
-99,16,30,10,20, 2, 4,11,17,-99,
-99, 2,18, 3,20, 7,12,28,15,-99,
-99,25,23,17,17, 4, 1,20,10,-99,
-99, 3,27,27,28,16,20, 6,15,-99,
-99,11,27,18,24, 2, 1,24, 3,-99,
-99, 2,26, 6, 8,21,18, 7,17,-99,
-99,24,23,18,27, 8, 9, 9,10,-99,
-99,19,19, 9,18,10,14, 5,20,-99,
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  , 2,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
