15
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
-99,22, 4, 7,23, 8,10,22,12,21,10,13,27, 3,-99,
-99, 9,12,11, 3,26,14,14,10, 1,21,12,10,11,-99,
-99,27,23, 5,25,23,10, 1,13, 4,20,23,25, 4,-99,
-99,15,18,28,13,20, 9, 8,15,23, 5,28, 8,14,-99,
-99,28,12,10,21,23,20,15,27,17,22,20, 1, 6,-99,
-99,24,20,12, 4, 7,26,22, 7,23,25,27,14,11,-99,
-99,21,19,22,12,16, 5,24, 9,26, 2, 1,24,12,-99,
-99, 1, 1, 3,13,19,10, 4, 2,14,11,12,19, 1,-99,
-99,18,15,27, 3,10, 3, 5, 3,14, 5,20,21,25,-99,
-99,17,22,25,24, 5, 9,25,20,21,15, 1,25,28,-99,
-99,26,19,11,28,19,12,27, 1,15, 8, 3, 3,22,-99,
-99,30, 7,30, 9, 4, 1,14,12, 9, 3,21, 5,22,-99,
-99,13, 3, 6,21, 2,16,23,25,15,25, 8,13,25,-99,
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,64,  ,  ,  ,  , 8,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,32,  ,  ,  ,  , 8,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
