20
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
-99,16,14,11,17, 1,13,25, 2,10,26,15, 9,21, 7, 7,17,21,23,-99,
-99,13,11,27,14,12, 2, 4, 9,12,22,17, 8,27,30, 5,21,20, 6,-99,
-99, 5,28, 7,26,26,22, 6, 2,28,12, 2, 4,18,14,14,16,11,26,-99,
-99,17,14,18,12, 8,18, 3, 6,21, 8,10,25,13,14,24, 3,23, 5,-99,
-99,24,28,18, 7,23,19,22,12, 4,30,27,15,17,27,12,18,11,19,-99,
-99, 7,25, 8,11, 4,17, 7,28,14,15, 3, 8,19,10,19, 9, 1,13,-99,
-99,11,22,24,27, 1,22,25, 1,21, 8,18,15,27,24,11,18, 7,27,-99,
-99, 7,25,26, 4,11,12,24, 2,22,14,22, 6,11, 4,27, 6, 2,12,-99,
-99,12,26,24,16, 6,14, 2,16,21,24, 5,11,22,23, 8,20,11,18,-99,
-99,15,18, 3,20, 3, 8,25,25,12, 8,15,25,19,26,23,26,13,12,-99,
-99,11,26,11,16,21,15,26,27,10, 5,30, 4, 7,16,21,21, 8, 7,-99,
-99, 1,16, 4,24,23,18,20,25,27,26,23,11,21,17,20, 3, 4,24,-99,
-99,18, 2, 6,11,18, 7,14, 8, 7,18,30,14,24,13, 1,27, 8, 8,-99,
-99,28,11, 4,26, 9,26,20, 1,27,23,16, 2,19, 5,15,24,27,17,-99,
-99,15,24,24,21,13, 8, 6,20,20,18, 3,11,25, 2,22,13,28,14,-99,
-99,22, 3,14,20,26, 1, 6,16,17,20,23,27, 8, 9, 6,16,13, 2,-99,
-99,23, 2,22,27,20,24,21,28,25,14,24, 8,11,18,23,25,21,20,-99,
-99, 9,26,19,10, 2,25,20,21,18,26, 8, 2,27,15, 4,20,25,23,-99,
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,16,  ,  ,  ,  , 0,  ,  ,  ,  , 8,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  , 2,  ,  ,  ,  , 2,  ,  ,  ,  , 8,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,16,  ,  ,  ,  , 2,  ,  ,  ,  , 8,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
